,Country,Language,Year,Value
25,Algeria,Arabic,2008,12330798.39
27,Algeria,English,2008,7262.899904999999
28,Algeria,French,2008,395815.8709
33,Algeria,Arabic,2008,6780481.879
35,Algeria,English,2008,4179.926689
36,Algeria,French,2008,271407.9263
41,Algeria,Arabic,2008,5550316.507999999
43,Algeria,English,2008,3082.973216
44,Algeria,French,2008,124407.9446
49,Algeria,Arabic,2008,7795319.661
51,Algeria,English,2008,5177.561006
52,Algeria,French,2008,322532.8224
57,Algeria,Arabic,2008,4209483.954
59,Algeria,English,2008,2827.188071
60,Algeria,French,2008,212423.4004
65,Algeria,Arabic,2008,3585835.707
67,Algeria,English,2008,2350.3729350000003
68,Algeria,French,2008,110109.42199999999
73,Algeria,Arabic,2008,4535478.726
75,Algeria,English,2008,2085.338899
76,Algeria,French,2008,73283.0485
81,Algeria,Arabic,2008,2570997.925
83,Algeria,English,2008,1352.7386179999999
84,Algeria,French,2008,58984.525929999996
89,Algeria,Arabic,2008,1964480.801
91,Algeria,English,2008,732.6002808
92,Algeria,French,2008,14298.52258
98,American Samoa,English,2000,1440.0
105,Anguilla,English,2001,11329.0
106,Anguilla,Spanish,2001,84.0
111,Anguilla,English,2001,5580.0
112,Anguilla,Spanish,2001,37.0
117,Anguilla,English,2001,5749.0
118,Anguilla,Spanish,2001,47.0
122,Armenia,Russian,2011,23484.0
123,Armenia,Ukrainian,2011,733.0
128,Armenia,Russian,2011,7934.0
129,Armenia,Ukrainian,2011,94.0
134,Armenia,Russian,2011,15550.0
135,Armenia,Ukrainian,2011,639.0
140,Armenia,Russian,2011,17791.0
141,Armenia,Ukrainian,2011,552.0
146,Armenia,Russian,2011,5697.0
147,Armenia,Ukrainian,2011,75.0
152,Armenia,Russian,2011,12094.0
153,Armenia,Ukrainian,2011,477.0
158,Armenia,Russian,2011,5693.0
159,Armenia,Ukrainian,2011,181.0
164,Armenia,Russian,2011,2237.0
165,Armenia,Ukrainian,2011,19.0
170,Armenia,Russian,2011,3456.0
171,Armenia,Ukrainian,2011,162.0
176,Armenia,Russian,2001,29563.0
177,Armenia,Ukrainian,2001,818.0
182,Armenia,Russian,2001,9540.0
183,Armenia,Ukrainian,2001,91.0
188,Armenia,Russian,2001,20023.0
189,Armenia,Ukrainian,2001,727.0
194,Armenia,Russian,2001,22328.0
195,Armenia,Ukrainian,2001,652.0
200,Armenia,Russian,2001,6771.0
