,Country,Language,Year,Value
1,Åland Islands,Total,2000,25776
2,Åland Islands,Finnish,2000,1238
3,Åland Islands,Swedish,2000,24169
4,Åland Islands,Other,2000,369
5,Åland Islands,Total,2000,12700
6,Åland Islands,Finnish,2000,408
7,Åland Islands,Swedish,2000,12103
8,Åland Islands,Other,2000,189
9,Åland Islands,Total,2000,13076
10,Åland Islands,Finnish,2000,830
11,Åland Islands,Swedish,2000,12066
12,Åland Islands,Other,2000,180
13,Albania,Total,2011,2800138
14,Albania,Albanian,2011,2765610
15,Albania,Aromanian,2011,3848
16,Albania,Greek,2011,15196
17,Albania,Romani (Gypsy),2011,4025
18,Albania,Italian,2011,523
19,Albania,Macedonian,2011,4443
20,Albania,Not stated,2011,3843
21,Albania,Turkish,2011,714
22,Albania,Other,2011,1870
23,Albania,Serbo-Croatian,2011,66
24,Algeria,Total,2008,30650174.96
25,Algeria,Arabic,2008,12330798.39
26,Algeria,Arabic and French,2008,8286452.177
27,Algeria,English,2008,7262.899905
28,Algeria,French,2008,395815.8709
29,Algeria,None,2008,6881134.381
30,Algeria,Other,2008,2573641.56
31,Algeria,Unknown,2008,175069.6837
32,Algeria,Total,2008,15469705.62
33,Algeria,Arabic,2008,6780481.879
34,Algeria,Arabic and French,2008,4530189.443
35,Algeria,English,2008,4179.926689
36,Algeria,French,2008,271407.9263
37,Algeria,None,2008,2544627.177
38,Algeria,Other,2008,1254421.405
39,Algeria,Unknown,2008,84397.85953
40,Algeria,Total,2008,15180469.34
41,Algeria,Arabic,2008,5550316.508
42,Algeria,Arabic and French,2008,3756262.734
43,Algeria,English,2008,3082.973216
44,Algeria,French,2008,124407.9446
45,Algeria,None,2008,4336507.205
46,Algeria,Other,2008,1319220.155
47,Algeria,Unknown,2008,90671.82416
48,Algeria,Total,2008,20154153.03
49,Algeria,Arabic,2008,7795319.661
50,Algeria,Arabic and French,2008,6374395.891
51,Algeria,English,2008,5177.561006
52,Algeria,French,2008,322532.8224
53,Algeria,None,2008,3557579.687
54,Algeria,Other,2008,1973802.565
55,Algeria,Unknown,2008,125344.8443
56,Algeria,Total,2008,10128977.29
57,Algeria,Arabic,2008,4209483.954
58,Algeria,Arabic and French,2008,3416849.526
59,Algeria,English,2008,2827.188071
60,Algeria,French,2008,212423.4004
61,Algeria,None,2008,1284128.68
62,Algeria,Other,2008,943417.3957
63,Algeria,Unknown,2008,59847.14161
64,Algeria,Total,2008,10025175.75
65,Algeria,Arabic,2008,3585835.707
66,Algeria,Arabic and French,2008,2957546.365
67,Algeria,English,2008,2350.372935
68,Algeria,French,2008,110109.422
69,Algeria,None,2008,2273451.006
70,Algeria,Other,2008,1030385.169
71,Algeria,Unknown,2008,65497.70273
72,Algeria,Total,2008,10496021.93
73,Algeria,Arabic,2008,4535478.726
74,Algeria,Arabic and French,2008,1912056.286
75,Algeria,English,2008,2085.338899
76,Algeria,French,2008,73283.0485
77,Algeria,None,2008,3323554.695
78,Algeria,Other,2008,599838.9949
79,Algeria,Unknown,2008,49724.83934
80,Algeria,Total,2008,5340728.33
81,Algeria,Arabic,2008,2570997.925
82,Algeria,Arabic and French,2008,1113339.917
83,Algeria,English,2008,1352.738618
84,Algeria,French,2008,58984.52593
85,Algeria,None,2008,1260498.496
86,Algeria,Other,2008,311004.0091
87,Algeria,Unknown,2008,24550.71791
88,Algeria,Total,2008,5155293.598
89,Algeria,Arabic,2008,1964480.801
90,Algeria,Arabic and French,2008,798716.3691
91,Algeria,English,2008,732.6002808
92,Algeria,French,2008,14298.52258
93,Algeria,None,2008,2063056.198
94,Algeria,Other,2008,288834.9858
95,Algeria,Unknown,2008,25174.12143
96,American Samoa,Total,2000,49471
97,American Samoa,Asian,2000,769
98,American Samoa,English,2000,1440
99,American Samoa,Other Pacific Islands,2000,1035
100,American Samoa,Samoan,2000,44833
101,American Samoa,Tongan,2000,1204
102,Anguilla,Total,2001,11430
103,Anguilla,Chinese,2001,7
104,Anguilla,Dutch,2001,2
105,Anguilla,English,2001,11329
106,Anguilla,Spanish,2001,84
107,Anguilla,Other,2001,8
108,Anguilla,Total,2001,5628
109,Anguilla,Chinese,2001,6
110,Anguilla,Dutch,2001,2
111,Anguilla,English,2001,5580
112,Anguilla,Spanish,2001,37
113,Anguilla,Other,2001,3
114,Anguilla,Total,2001,5802
115,Anguilla,Chinese,2001,1
116,Anguilla,Dutch,2001,0
117,Anguilla,English,2001,5749
118,Anguilla,Spanish,2001,47
119,Anguilla,Other,2001,5
120,Armenia,Total,2011,3018854
121,Armenia,Armenian,2011,2956615
